flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,wildlife_species,pilot_warned,wildlife_size,latitude,longitude,elevation_ft,nearest_turbine_km,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,season,migration_density,is_peak_migration,risk_target
2021-04-15,4,2021,EAGLE COUNTY REGIONAL,CO,SKYWEST AIRLINES,A  ,2.0,Landing Roll,0.0,Overcast,"Rain, Snow",Ring-billed gull,Yes,Medium,39.64260101,-106.9179993,6548.0,147.17,1.6666666666666667,82.15217391304348,26.76402391304348,8.360871156521739,13.97,830.5857646739131,Spring,0.4981,0,2
2021-04-18,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American kestrel,Unknown,Small,39.861698,-104.672997,5431.0,14.11,7.026143790849673,44.1764705882353,18.60207705882353,16.07067990588235,0.0,835.2829734117648,Spring,0.4981,0,1
2021-04-09,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Western meadowlark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,4.322916666666667,49.15625,22.178716875,16.0692599,0.0,831.24233784375,Spring,0.4981,0,2
2021-04-12,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,White-tailed jackrabbit,Unknown,Large,39.861698,-104.672997,5431.0,14.11,1.805555555555556,47.875,12.220925625,16.0692599,0.0,835.11552140625,Spring,0.4981,0,2
2021-04-01,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Black-tailed jackrabbit,Unknown,Large,39.861698,-104.672997,5431.0,14.11,9.565972222222223,28.78125,14.634935625,16.0692599,0.0,837.6870613125001,Spring,0.4981,0,2
2021-04-18,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Black-tailed jackrabbit,Unknown,Large,39.861698,-104.672997,5431.0,14.11,7.026143790849673,44.1764705882353,18.60207705882353,16.07067990588235,0.0,835.2829734117648,Spring,0.4981,0,2
2021-04-18,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,White-tailed jackrabbit,Unknown,Large,39.861698,-104.672997,5431.0,14.11,7.026143790849673,44.1764705882353,18.60207705882353,16.07067990588235,0.0,835.2829734117648,Spring,0.4981,0,2
2021-04-21,4,2021,BUFFALO-NIAGARA INTL,NY,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Gulls,Unknown,Medium,42.940498,-78.732201,728.0,16.55,10.84045584045584,69.6923076923077,34.78650307692308,15.403447056410256,4.318,1004.4814214615384,Spring,0.4828,0,2
2021-04-18,4,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mallard,Unknown,Medium,41.9786,-87.9048,680.0,4.16,11.19047619047619,43.142857142857146,9.138752142857143,16.079605657142857,0.0,987.70111475,Spring,0.4698,0,1
2021-04-19,4,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Ring-billed gull,Unknown,Medium,41.9786,-87.9048,680.0,4.16,8.75925925925926,51.9,19.043856666666667,16.08052528,0.0,986.8391978666666,Spring,0.4698,0,2
2021-04-18,4,2021,CHICAGO O'HARE INTL ARPT,IL,ENVOY AIR,A  ,2.0,Approach,100.0,No Cloud,No Precipitation,Canada goose,No,Large,41.9786,-87.9048,680.0,4.16,11.19047619047619,43.142857142857146,9.138752142857143,16.079605657142857,0.0,987.70111475,Spring,0.4698,0,0
2021-04-11,4,2021,JOHN F KENNEDY INTL,NY,AMERICAN AIRLINES,A  ,2.0,Descent,0.0,Overcast,Rain,White-headed gull complex,Yes,Medium,40.639801,-73.7789,13.0,19.57,12.050264550264547,94.04761904761904,18.009280952380955,3.153156871428572,11.938,1003.145472,Spring,0.4828,0,2
2021-04-19,4,2021,JOHN F KENNEDY INTL,NY,VOLARIS,A  ,2.0,Climb,3000.0,Some Cloud,No Precipitation,Unknown bird - medium,Yes,Medium,40.639801,-73.7789,13.0,19.57,12.586805555555555,64.71875,10.611585625,16.0692599,0.0,1010.21304934375,Spring,0.4828,0,0
2021-04-21,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,-0.2245862884160756,80.57446808510639,13.730751914893617,8.121345982978722,4.064,834.4497265106384,Spring,0.4981,0,2
